"ID","doi","smiles","DoU","NAts","NAtsBin","HOMO_indo","LUMO_indo","HOMO_pm7","LUMO_pm7","HOMO_qm_321","LUMO_qm_321","HOMO_qm_631","LUMO_qm_631"
"AMBBPO","","Nc1ccccc1C(=O)c1ccc(Br)cc1",9.0,26.0,"(20, 30]","","",-8.663016544518,-0.785320572543,-5.3522073254845015,-1.424788121218,-5.462413434937,-1.524381790501
"AMPYRM10","10.1107/S056774087600352X","Nc1ncccn1",4.0,12.0,"(10, 20]",-10.7030540817165,4.210689722637,-9.38248556524,-0.2168747388485,-5.9878652802525,-0.4974241187140001,-6.070860004655,-0.655250152004
"AQIGEN","10.1039/c1jm00002k","N1B(Nc2cc(ccc12)c1ccc2NB(Nc2c1)c1ccc(cc1)c1ccccc1)c1ccc(cc1)c1ccccc1",26.0,70.0,"(60, 70]",-8.888871040433001,2.492018642879,-8.310901221971001,-1.1077754853855002,-4.8945118289435,-1.1398849197445,-4.7644414084045,-1.1573002061765
"ARAGUV","10.1016/S0020-1693(03)00381-5","CC(=O)NC1=NNC(=C1)C",4.0,19.0,"(10, 20]",-10.3552925807775,4.5157293490475,-9.291599539173,0.551846888814,-5.9247348669365,0.6783798292965,-6.0558937428775,0.4443619178665
"ASAQAO","10.1016/j.molstruc.2016.07.094","CC(C)C(CO)N1C=NN=C1",3.0,24.0,"(20, 30]",-11.433679770309,5.5622792180705005,-10.6056373232375,0.5858611201264999,-6.224604330187501,0.7825994340379999,-6.6632518571935,0.710761377506
"ATUFUS","10.1002/adfm.201502440","CC(C)C[Si](CC(C)C)(CC(C)C)C#Cc1c2cc3SC(=Cc3cc2c(C#C)c2cc3SC(=Cc3cc12)F)F",18.0,73.0,"(70, 80]","","",-7.9383773606365,-1.9633014313575,-5.107576973885,-2.520862711032,-5.0120650123595,-2.460453436221
"AWIRIJ","10.1039/C6TC03767D","c1ccc(cc1)c1ccccc1C(C(c1ccccc1c1ccccc1)c1ccc2ccc3cccc4ccc1c2c34)c1ccc2ccc3cccc4ccc1c2c34",40.0,96.0,"(90, 100]",-9.2423469322325,1.743161326303,-8.070352578128999,-0.9183842454375,-5.1402306359450005,-1.3020647746425,-5.054786886888,-1.2952619283800002
"AXEQOL","10.3109/14756366.2010.546792","CSCCC(NS(=O)(=O)c1ccc(C)cc1)C1=NN=C(O1)SCc1ccc(Cl)cc1",11.0,52.0,"(50, 60]","","",-8.556347915122,-1.2002941945555,-5.9051426697005,-0.863145133786,-5.9595654398005005,-0.9537590460025
"AXOLAB","10.1021/jo1020773","CCOC(=O)C1(C(OC(C1C(=O)c1ccccc1)c1ccccc1)c1ccccc1)C(=O)OCC",16.0,63.0,"(60, 70]",-10.9327181715385,2.748894117751,-9.5324202968655,-0.57688136306,-6.1620181445725,-1.506422276368,-6.2235158747855,-1.5798930160030005
"AXOSOW03","","C=CC=O",2.0,8.0,"(0, 10]",-12.534652409432,3.1649561951655,-10.295699647518,-0.4824578569365,-6.702708365516,-1.46397251569,-6.907065867241499,-1.5817978129565
"BABDIU","10.1021/acs.orglett.5b03160","CN1C(=O)C(=C(C(=O)c2ccccc2)c2ccccc12)O",12.0,34.0,"(30, 40]",-9.859773259017,2.1652099084285,-9.053772033836,-1.0560738537905,-5.8866389278665,-1.6824799376414998,-5.968000969166,-1.7706448252035
"BADDEP10","","Oc1ccccc1C=Nc1ccc(Br)cc1",9.0,26.0,"(20, 30]","","",-9.0954054529625,-1.177708744964,-5.8534410381054975,-1.7986725518050002,-5.8670467306305,-1.8277887338085
"BADMEA","10.1039/c004868b","c1ccc(cc1)C=C=C1c2ccccc2C=Cc2ccccc12",16.0,39.0,"(30, 40]",-9.6325581938495,2.493651325982,-8.6202946699895,-0.649807874994,-5.6390153239115,-1.3347184367025,-5.519013115841,-1.3189358333735
"BAGSUZ","10.1016/j.tetasy.2011.09.007","CP(=S)(c1ccccc1)c1ccc2ccccc2c1c1c2ccccc2ccc1P(=S)(c1ccccc1)c1ccccc1",26.0,73.0,"(70, 80]","","",-8.122054209724,-0.864233589188,-5.397106110817,-1.479210891318,-5.4300318867275,-1.4778503220655
"BAHFEX","10.1016/j.tet.2011.09.106","C1OC(=NC1c1ccccc1)C(C1=NC(CO1)c1ccccc1)=C(c1ccccc1)c1ccccc1",21.0,62.0,"(60, 70]",-10.35665315003,2.415282537038,-9.3735058081735,-0.8323962686795001,-6.1135818791835,-1.4285977151249998,-6.0569821982795,-1.454720644773
"BALDUP","10.1039/c1dt10551e","COc1ccc(CN2C=C(N=N2)c2cccc(c2)C2=CN(Cc3ccc(OC)cc3)N=N2)cc1",18.0,58.0,"(50, 60]",-9.833650329369,3.90211261617,-8.999349263736,-0.2696648258455,-5.966912513764,-0.448443625624,-5.862420795172,-0.494158752508
"BAWREW","10.1107/S0567740882002854","OC(=O)CCSSCCC(O)=O",2.0,22.0,"(20, 30]","","",-9.100575616122,-1.046549869023,-6.419709960995999,-0.2712975089485,-6.440662727484501,-0.458783951943
"BAYSIG","10.1002/zaac.201700034","CC(=NOCc1ccccc1)c1cccc(NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc2cccc(c2)C(C)=NOCc2ccccc2)c1",23.0,76.0,"(70, 80]","","",-8.955538933805501,-1.826428164556,-5.751670458018499,-2.877331855187,-5.7870452585835,-2.9750207275165
"BECMED","","COc1c2CCCc3cc(cc(C(=C(C)c1cc(c2)C(C)(C)C)C)c3OC)C(C)(C)C",10.0,71.0,"(70, 80]",-9.7305191800295,3.4261854916455,-8.0363383468165,0.3366048330685,-5.076011767227,-0.3153799527295,-5.1157403894,-0.4078986618994999
"BEGVIU","10.1021/ol302058g","Fc1ccc2nc3cccc4N(C(=O)c(c2c1)c34)c1ccccc1Cl",16.0,35.0,"(30, 40]","","",-8.9734984479385,-2.1706521854385,-5.925006980787,-2.7110702925315,-5.887999497119,-2.7167846833920004
"BEJGOO","10.1002/anie.201203406","COCOC(C1CC(C)CC2(CC(C)CC(O2)C(O[Si](C)(C)C(C)(C)C)C(C)=C)O1)C1(C)OCCO1",4.0,88.0,"(80, 90]","","",-8.8347203841835,0.932806279514,-5.051521520682,0.493070297106,-5.3075806540025,0.3997352463845
"BEWSUS","10.1021/ja048613p","COC(=O)C1(COCc2ccccc2)N(Cc2ccccc2)C(=O)C(=C)C1(C)O",12.0,54.0,"(50, 60]",-10.5669971564665,3.4504036243400003,-9.5650739589255,-0.126805054333,-6.329912390331,-0.7766129293269999,-6.560392821704498,-0.934983190318
"BIBXAM","","COc1ccc(cc1)C12C=CC3(CCCCC13C)C1C2C(Sc2ccccc2)N(Cc2cc3OCOc3cc2C=CC(C)=O)C1=O",21.0,85.0,"(80, 90]","","",-8.965879260124499,-0.878927737115,-5.727724439174501,-1.542341304634,-5.755207938075,-1.609825539558
"BIGCOJ","10.1107/S0567740882008310","CP1(=S)CCOP(C)(=S)OCC1",1.0,26.0,"(20, 30]","","",-8.298656098698501,-0.2881685676795,-6.020246828462,1.2773024142470002,-6.04636975811,1.0887275158505
"BIHVUJ","10.1071/CH9820145","CC(CCC=C(C)C)C1CCC2(C)CC=C3C=NN(C(NNC(=O)c4ccc(Br)cc4)C13C2OC(=O)c1ccc(Br)cc1)C(=O)c1ccc(Br)cc1",21.0,95.0,"(90, 100]","","",-9.110915942441,-0.8484509858589999,-5.796025015650001,-1.4168968195535,"",""
"BIJXOI","10.1021/ja044878s","CC(C)CC(OC(=O)c1ccc(cc1)c1ccccc1)C(C)C1CCCCCC1OC(=O)c1ccc(cc1)c1ccccc1",19.0,88.0,"(80, 90]",-11.4715035955285,2.5113387262645,-9.452690938669,-0.8160694376495,-6.4806634635080025,-1.4054680378325,-6.3720900371584985,-1.449822595464
"BISMEV07","10.1021/cg0607710","NC(=O)CN1CCCC1=O",3.0,20.0,"(10, 20]",-10.7825113260625,4.7149166876135,-9.3272464535885,0.9477725412915,-5.960381781352003,0.8212396008089999,-6.227869696393499,0.429395656089
"BOCBUS","10.1021/ja411647x","Cc1cc(C)c(c(C)c1)S(=O)(=O)NCC(C)(c1ccccc1)C1(C)C(=O)N(C(=O)OC(C)(C)C)c2ccccc12",15.0,78.0,"(70, 80]","","",-9.303572548595,-0.2642225488355,-6.2782107587360025,-0.7230065007785,-6.3252864548725,-0.867498955394
"BOLCOU","10.1039/c39830000174","CC1OC(CCC1O)OC12C(=O)C(O)C(C)(O)CC1(O)C=CC1=C2C(=O)c2cccc(O)c2C1=O",13.0,61.0,"(60, 70]",-10.438831532881,0.1537443255325,-9.931067087848,-2.154597468259,-6.357668003082,-3.28169303703,-6.6050194931865,-3.3554358905154995
"BONCOY","10.3987/COM-13-S(S)105","C1CCCCOc2ccc(OCCCC1)c(c2)P(c1ccccc1)c1ccccc1",13.0,61.0,"(60, 70]","","",-8.683152969455,-0.4432734624645,-5.5410543377315005,-0.3502105255935,-5.5475850701435006,-0.4100755727035
"BONGER","10.1002/anie.200804640","CC1CCC2C(C)CCC(=C2C2=CC(=O)CC12)C",6.0,42.0,"(40, 50]",-10.7248231897565,2.278137156386,-9.18656359288,-0.308032878766,-5.9481366580795,-1.2264171242035,-6.039294797997,-1.337711689058
"BOPBOZ","10.1039/C4CE01571A","CCCCCCN1C(Sc2ccccc12)=CC1=C([O-])C(=CC2=[N+](CCCCCC)c3ccccc3S2)C1=O",16.0,74.0,"(70, 80]","","",-6.610189656346001,-1.9491515111315,-4.0248359627455015,-1.994050296464,-4.1374910968525,-1.9671110252645
"BOQCUF06","10.1021/jp810355a","[NH3+]C(CS)C(=O)[O-]",1.0,14.0,"(10, 20]","","",-9.072820003371,-0.649807874994,-4.4085164919505,-0.099593669283,-4.9984593198345,-0.5918476248375
"BOWLOP","10.1021/cm8030126","CCCCCCCCc1ccc2c([Se]C3=C2[Se]c2cc(CCCCCCCC)ccc32)c1",11.0,72.0,"(70, 80]","","",-7.6428617189935,-0.715659426815,-5.3331593559495,-1.0593392199965,-5.322002688079,-1.085734263495
"BUCHUE","10.1039/C5CE00215J","Fc1cc(F)cc(c1)N=Cc1ccc(F)c(F)c1",9.0,25.0,"(20, 30]",-11.5743626310175,1.7839784038779998,-10.031204984832002,-1.5915939115745,-6.5957676222695,-1.9964993211185005,-6.5206641995315024,-1.99731566267
"BUFCIP","10.1107/S1600536809038471","CC1=NN(CC(F)(F)F)C(=C1Cl)CS(=O)(=O)C1=NOC(C)(C)C1",5.0,38.0,"(30, 40]","","",-9.89405960418,-0.3844968707564999,-6.8401258600185,-1.2476420045424998,-6.815635613473501,-1.405195923982
"BUSYIZ","10.1107/S2056989015013729","CN(C)c1ccc(CCC2CCC(CC2)CCc2ccc3ccc4cccc5ccc2c3c45)cc1",17.0,72.0,"(70, 80]",-9.189828959086,1.835135807772,-7.8964718276595,-1.0402912504615,-4.850157271312001,-1.3945834838125,-4.91981841704,-1.3472356738255
"BUVCIF","10.1039/b102475m","O=C1CCC2=CC=CN12",5.0,16.0,"(10, 20]",-11.106054694307,3.6716321847965,-9.3822134513895,-0.2386438468885,-6.015348779153,-0.5515747749634999,-5.9775249539335,-0.669944299931
"BZFLRN01","10.1016/j.tet.2014.01.005","O=C1c2ccccc2c2cc3ccccc3cc12",13.0,28.0,"(20, 30]",-10.621147812716,1.830237758463,-9.1062900069825,-1.200022080705,-6.116575131539,-2.0884738025875,-6.0009267450765,-2.1156851876375
"CACGIX","10.1107/S1600536801019559","CN(Cc1ccccc1)C1=C(C(C(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC(C)=O)C(S1)(C(=O)Nc1ccccc1)c1ccccc1)N(=O)=O",21.0,100.0,"(90, 100]","","",-8.9958117836795,-1.3891412068025,-5.960926009053,-1.6383974938605,-6.069227321552,-1.7837062900275
"CACTAD02","10.1039/C5CE00613A","CCCC1=NC2=CC(=NN2C(=C1)C(Cl)(Cl)Cl)C",6.0,29.0,"(20, 30]","","",-9.528338589108,-1.523293335099,-6.332089301135,-1.8713269498885,-6.240659047367001,-1.857449143513
"CADROP","10.1021/ol016941d","OC(c1ccccc1OP1(=O)Oc2ccccc2C(O1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F",9.0,45.0,"(40, 50]","","",-9.7169134875045,-1.393767142261,-7.249112977320001,-1.167912646346,-7.126117516893999,-1.1564838646250002
"CAMPEN","10.1038/srep00082","Cc1cccc(C)c1N1N=NC2=C1c1ccccc1C1=C(N=NN1c1c(C)cccc1C)c1ccccc21",23.0,64.0,"(60, 70]",-9.1977202607505,2.892026003114,-8.912817059277,-0.7872253694965,-6.088275291087,-1.362201935603,-5.969089424568,-1.344786649171
"CARZAW","","CC12CCC(O)C(C)(COC3OC(CO)C(O)C(O)C3O)C1CCC(=C)C2CC=C1CCOC1=O",7.0,75.0,"(70, 80]",-11.218165600713,1.7739101914095,-9.6663003113115,-0.6217801483925,-6.342973855155,-1.450911050866,-6.332633528836,-1.5790766744515
"CASJOV","10.1016/0031-9422(83)80157-5","CC(C)C1CC(=O)C2(C)CC3=C(C)CCC3C(C)C(=O)CC12O",6.0,53.0,"(50, 60]",-11.1090479466625,4.156811180238,-9.2369046552225,0.8514442382145,-6.028954471678,-0.2582360441245,-6.119840497745,-0.4810972876840001
"CBOHAZ04","","NNC(=O)NN",1.0,12.0,"(10, 20]",-10.883465564598,5.2439060129855,-8.810774365339503,0.808178135985,-4.721175306175,1.9850705393975,-5.304859515497499,1.30070420539
"CEDRIN","10.2116/analscix.21.x217","Cc1ccc(cc1)N1C(SCC1=O)c1cccnc1",10.0,33.0,"(30, 40]","","",-9.1509166784645,-0.8691316384970001,-6.317395153208,-0.8166136653505001,-6.3557632061285005,-0.947500427441
"CEGVIV","10.1107/S1600536812036793","Oc1ccc2ccccc2c1C=Nc1cccc(I)c1",12.0,32.0,"(30, 40]","","",-8.757440050641499,-1.3292761596925,-5.7309898053805,-1.966294683713,"",""
"CEMHEJ","10.1021/ol302876c","CC1=C(C=O)C(c2ccc(cc2)N(=O)=O)C2(C1)C(=O)N(C(=O)OC(C)(C)C)c1ccccc21",15.0,57.0,"(50, 60]",-10.850267674837,1.713773030449,-9.455412077174,-1.150497359914,-6.361477596988999,-2.1461619388935,-6.3987571945075,-2.320042689363
"CEQPET","10.1002/(SICI)1099-0690(199910)1999:10<2573::AID-EJOC2573>3.3.CO;2-7","COC(=O)C1CC(=C(C)CS1=O)C",3.0,27.0,"(20, 30]","","",-8.7487324074255,0.6566107212565,-5.720921592912,0.1085734263495,-6.050723579718,-0.0922465953195
"CEWRUR10","10.1021/np50036a026","OC12CCC(=C)C3CCC(=C)C3C1OC(=O)C2=C",7.0,36.0,"(30, 40]",-11.2086416159455,3.4343489071605005,-10.018687747709,-0.148574162373,-6.575359083482,-0.9592013230125,-6.656449010931,-1.0696795463155
"CHBZOA10","10.1039/c39810000729","C1CCC2OCC3COC4CCCCC4OCC(COC2C1)OCCOc1ccccc1OCCO3",8.0,78.0,"(70, 80]",-10.88999629701,4.6779092039455,-8.63145133786,0.393476627823,-5.564728242725001,0.5273566422689999,-5.635477843855,0.4400080962585
"CHORLH01","","OC(O)C(Cl)(Cl)Cl",0.0,10.0,"(0, 10]","","",-11.3495965905045,-0.855525945972,-7.856198977785501,-1.0767545064285,-8.154979985634501,-0.999746286737
"CINKOB","10.1016/j.dyepig.2013.10.023","N#Cc1ccccc1N1CCN(CC1)C(N1CCN(CC1)c1ccccc1C#N)=C1C=CC(C=C1)=C(C#N)C#N",23.0,68.0,"(60, 70]",-6.1059626913695,1.365467301809,-7.4828587748994995,-1.4604350356335,-4.356542746505,-1.849829955699,-4.465932514406,-1.950512080384
"CISTUU","10.1002/anie.200704008","CC(C)(C)P(B(C1CCCCC1)C1CCCCC1)P(B(C1CCCCC1)C1CCCCC1)C(C)(C)C",4.0,98.0,"(90, 100]","","",-8.833904042632,-1.9132324828655,-5.381051393637501,-0.923554408597,-5.417786763455,-0.96328303077
"CLACAM02","10.1107/S0365110X56002874","NC(=O)CCl",1.0,9.0,"(0, 10]","","",-10.6127122833505,0.0895254568145,-6.8210778904835,0.4666752536075,-7.117137759827501,0.256331247171
"CLACPH01","10.1139/v84-133","ClCC(=O)c1ccccc1",5.0,17.0,"(10, 20]","","",-10.197738661338,-1.097707272917,-6.980808720727,-1.8566328019615,-7.006387422674,-1.9181305321745
"CLACTN01","10.1107/S1600536807031893","CC(=O)Nc1ccc(Cl)cc1",5.0,19.0,"(10, 20]","","",-9.218673027239,-0.418511102069,-6.0950781373495,-0.3937487416735,-6.12256163625,-0.4976962325644999
"CLDTCB01","","ClC1(Cl)SC(Cl)(Cl)S1",1.0,8.0,"(0, 10]","","",-10.1615475192215,-2.177999259402,-7.574833256368501,-2.7249480989070003,-7.498913492079001,-2.6468514238135
"COFGAG","10.1021/jo702479z","FC(c1ccccc1)(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1",12.0,41.0,"(40, 50]","","",-9.692151127109,-0.6264060838509999,-6.9277465198794985,-1.276758186546,-6.9125081442515,-1.3945834838125
"COJXII","10.1107/S0108270184009823","O=C1N2C3CC(N2C(=O)N1c1ccccc1)C1=C3C2CCC1C2",12.0,40.0,"(30, 40]",-10.6769311520685,3.92932400122,-9.556094201859,-0.385313212308,-5.948952999631,-0.182860507536,-6.239570591964999,-0.2609571826295
"CONHIW","10.1021/ja00333a080","CCC1=C2NC(=C1CC)C=C1N=C(C=C3NC(=CC4=NC(=C2)C(=C)C4(CC)CC)C(=C3CC)CC)C(=C)C1(CC)CC",16.0,92.0,"(90, 100]",-6.384063046580501,-0.135512697549,-6.6817555990275,-2.1679310469335,-4.4417143817115,-2.106705430571,-4.3513725833455,-2.13881486493
"COQQIK","10.1002/anie.201407394","Cc1ccc(cc1)S(=O)(=O)N1CC2=Cc3ccccc3N3OC2(C1)C(C3c1ccccc1)[Si](C)(C)C",16.0,68.0,"(60, 70]","","",-9.054316261537,-0.5523911165150001,-6.0069132497875,-1.0925371097575,-6.0115391852460025,-1.1268234549205
"CORXUD","10.1016/j.tetlet.2008.11.003","CC(C)(C)OC(=O)NC(C(=O)N1C2CC3CCC2(C(=O)N1c1ccccc1)C3(C)C)c1ccccc1",14.0,71.0,"(70, 80]",-9.9580063590475,3.9159904225455,-8.63145133786,-0.036463255967,-5.618606785124,-0.3088492203175,-5.767180947497,-0.4612329765975
"COXYIX","10.1021/ic990441n","FC(F)(F)I(Cl)Cl",-2.0,9.0,"(0, 10]","","",-10.4369267359275,-2.5556932838960003,-7.738373680519,-3.0408722793375,"",""
"CTHDZO","10.1107/S056774087800967X","ClC1=NSN=C(Cl)C1=O",4.0,9.0,"(0, 10]","","",-9.452146710968,-1.92112378453,-7.4654434884675,-3.0640019566300003,-7.457280072952501,-3.1420986317235
"CUCKOC","10.1055/s-0034-1378905","Clc1cccc(c1)C1CC=CC(CC=C(Br)Br)C21C=C(OC2=O)c1ccccc1",14.0,48.0,"(40, 50]","","",-9.5438490785865,-0.8226001700615001,-6.287462629653,-1.3031532300445,-6.2515436013870005,-1.3562154308919998
"CUDRAN","","COc1cc(O)c(c(O)c1)C(=O)c1cccc(O)c1CC=C(C)C",10.0,44.0,"(40, 50]",-10.635297732942,2.5761018226835,-9.157175297026,-0.7719869938685,-5.8556179489095,-1.4386659275935,-5.7930317632945005,-1.5268308151555
"CUDTAW","","OC(CCC1=CCCC1=O)CC(O)=O",4.0,28.0,"(20, 30]",-11.704705165407,2.825630223592,-10.2709372871225,-0.417966874368,-6.4178051640425,-1.069951660166,-6.5593043663025,-1.20274321921
"CUNNUV","10.1016/j.tetasy.2009.10.020","CC(C)C1CCC2(C)CCC(O)CC12O",2.0,39.0,"(30, 40]",-12.107977891848002,6.130997165615503,-10.3313465619335,2.693382892249,-6.492364359079501,1.7537737664725,-6.923120584421,1.347507787676
"CUPBAR","10.1016/j.tetlet.2009.09.069","CC(C)(C)NC(=O)C1=NOC(=C1c1ccccc1)NC(C)(C)C",8.0,48.0,"(40, 50]",-9.266020837226,4.0221148242405,-8.4945780710585,0.1570096917385,"","",-5.424317495866998,-0.1771461166755
"CUVSOB","10.1021/ja00290a038","FC(F)(F)C(=C(C(F)(F)F)S(F)(F)F)S(F)(F)F",-1.0,18.0,"(10, 20]","","",-10.85734263495,-2.347798302114,-8.2921253662865,-2.4803177473075,-8.760977530698003,-2.437051645078
"DALWAP","10.1055/s-2004-829081","CCOC(=O)C1C2C(C(=O)NC1(OCC)Oc1ccccc21)C(=O)c1ccccc1",13.0,53.0,"(50, 60]",-11.058434770469502,2.6237217465210003,-9.345478081572,-0.6873595863630001,-6.095894478901,-1.5758113082455,-6.1005204143595,-1.6389417215615
"DAMGIH","10.1002/(SICI)1521-3765(19990903)5:9<2472::AID-CHEM2472>3.3.CO;2-M","O1c2ccccc2c2c1ccc(P(c1ccccc1)c1ccccc1)c2c1c(ccc2Oc3ccccc3c12)P(c1ccccc1)c1ccccc1",34.0,84.0,"(80, 90]","","",-8.5517219796635,-0.600827381904,-5.4292155451760005,-0.912125626876,-5.372071636571,-0.9227380670455
"DANGIK","10.1021/ol202074e","CCCCCCN1CC(=CCC(CC=C(C1)c1ccc(Br)cc1)(C(=O)OC)C(=O)OC)c1ccc(Br)cc1",13.0,75.0,"(70, 80]","","",-8.676078009342001,-0.5085807865845,-5.304043173946001,-0.64218868718,-5.5873136923165,-0.7208295899745
"DARYOL","10.1016/j.tet.2005.03.124","CC(C)c1cccc(C(C)C)c1NC(C(Nc1c(cccc1C(C)C)C(C)C)c1ccccc1)c1ccccc1",16.0,88.0,"(80, 90]",-10.29678810292,4.1690563035105015,-8.3906305801675,0.189935467649,-5.4235011543155,-0.208983437184,-5.4904411615385005,-0.2789166967624999
"DASDOT","10.1021/jacs.6b12360","CN1N(N(C)c2cccc3cccc1c23)P(=O)(c1ccccc1)c1ccccc1",16.0,51.0,"(50, 60]","","",-7.634970417329,-0.1662615626555,-5.041725422064,-0.7703543107655001,-4.993289156675,-0.7643678060545
"DAVVUU","10.1021/acs.joc.7b00315","COc1ccc(cc1)N(c1ccc(OC)cc1)c1ccc2ccc3c(ccc4ccc1c2c34)B(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C",28.0,96.0,"(90, 100]",-8.648322396591,1.1202927225085,-7.636875214282499,-1.3782566527825,-4.6011730981045,-1.8452040202405,-4.5864789501775,-1.812822472031
"DAXLOD02","10.1039/C7CE01117B","Cc1ccc2S[As](Cl)Sc2c1",5.0,17.0,"(10, 20]","","",-9.06139122165,-1.9486072834305,-6.318211494759503,-1.4816599159725,-6.2746732786795,-1.5398922799794998
"DCYANM","10.1107/S0365110X53000922","N#CC#CC#N",6.0,6.0,"(0, 10]",-13.982842321793,3.388905894127,-12.432337601644,-1.4666936541950002,-9.13758309979,-2.686307932136,-9.073364231072,-2.8678078704195
"DEDLUT","10.1002/cber.19851180619","FC(F)(F)C1(OC(=NC(O1)(C(F)(F)F)C(F)(F)F)S[As](SC1=NC(OC(O1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)SC1=NC(OC(O1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F",6.0,70.0,"(60, 70]","","",-9.734600887787,-2.466984168633,-6.855364235646499,-1.404651696281,-6.8205336627824975,-1.416624705703
"DEKXEW","10.1039/c39850001751","BrC1C(Br)C2CS(=O)(=O)CC12",2.0,19.0,"(10, 20]","","",-10.3917558367445,-0.292794503138,-7.2439428141605,-0.976888723295,-7.506804793743499,-1.232675742765
"DEQDEI","10.1016/S0022-328X(98)01095-X","CN(C)C1=NP(=NC(=N1)N(C)C)(Cl)Cl",3.0,26.0,"(20, 30]","","",-8.758256392193001,-0.2979646662974999,-6.0232400808175015,-0.2435418961975,-6.180794000256999,-0.3698027228295
"DERQID","10.1021/acs.orglett.8b00076","OC1CC(C2C1C(=C)N(Cc1ccccc1)C2=O)c1ccc(Cl)cc1",12.0,45.0,"(40, 50]","","",-9.278538074349,-0.418511102069,-6.070587890804501,-0.554568027319,-6.156847981413,-0.6057254312129999
"DETBIN","10.1021/jo00225a006","CC(C)(C)OC(=O)N1CCC(C)(CC1C(O)=O)c1ccccc1",7.0,48.0,"(40, 50]",-10.7950285631855,4.217220455049,-9.2940485638275,0.4400080962585,-6.0863704941335,-0.0351026867144999,-6.298347183673,-0.255242791769
"DETSOX","10.1002/cber.19741070508","CCSC(=O)C(=O)SCC",2.0,20.0,"(10, 20]","","",-9.38792784225,-1.057434423043,-6.811553905716,-2.2316056879505,-6.9462502617135,-2.3263013079245
"DEXBEN","10.1107/S0567740877003902","CCOc1ccc(OCC)cc1",4.0,26.0,"(20, 30]",-10.4842745459145,4.4030742149405,-8.458386928942,0.1134714756585,-5.244178126836,0.2176910804,-5.308941223255,0.1412270884095
"DIDMUZ","10.1021/jo061515x","COc1cc(OC)cc(c1)c1ccccc1c1cc(OC)cc(OC)c1",12.0,48.0,"(40, 50]",-10.9806102092265,3.427546060898,-8.6192062145875,-0.1570096917385,-5.287172115215,-0.2756513305565,-5.3396900883615,-0.3393259715735
"DIFMAG","","CC(CP1(=O)C(C)(C)N=NC1(C)C)=NNc1ccccc1",7.0,44.0,"(40, 50]","","",-8.266546664339499,-0.1678942457584999,-5.4322087975315005,-1.3605692525000002,-5.404725298631001,-1.5763555359465
"DIKETE10","10.1107/S0365110X58002565","C=C1CC(=O)O1",3.0,10.0,"(0, 10]",-12.5637685914355,4.071367431181,-10.622780495819,0.128981965137,-7.153873129645,-0.2495284009085,-7.2303371216355,-0.371707519783
"DIMETH02","10.1080/00268978900102581","ICI",0.0,5.0,"(0, 10]","","",-9.1122765116935,-0.148574162373,-6.7421648738385,-1.8081965365725,"",""
"DIYHOI","10.1016/0022-2860(85)80171-X","CCOC(=O)C1=NN(c2ccc(Cl)cc2)C2(C)N1CSc1cc(OC)c(OC)cc21",12.0,52.0,"(50, 60]","","",-8.3498135025925,-0.5072202173320001,-5.1619997439850005,-0.9796098618,-5.228395523507,-1.1230138610135
"DNBENZ13","10.1107/S0108768102015033","O=N(=O)c1cccc(c1)N(=O)=O",6.0,16.0,"(10, 20]",-12.8614611438825,0.9445071750855,-11.485925629605,-2.0634393283415,-8.011575986421,-2.8653588457650003,-8.2594717042265,-3.035157888477
"DOLBIR30","10.1021/jp304858y","[NH3+]CC(=O)[O-]",1.0,10.0,"(0, 10]",-8.5696814937965,1.7635698650905005,-9.092412200607,0.1047638324425,-4.296133471694,0.17415286432,-4.8912464627375,-0.4342937053980001
"DOVZOD","10.1021/jm00147a029","CC(C)N(CCC1(C2CCCCN2C(=NC1=O)C)c1ccccc1)C(C)C",8.0,62.0,"(60, 70]",-9.781948697774,3.5353031456960005,-8.3427385424795,0.197010427762,-4.9015867890565,-0.4000073602350001,-5.1405027497955,-0.5483094087575
"DOXHED","10.1021/ic00228a045","OP(=O)CP(O)=O",0.0,13.0,"(10, 20]","","",-6.8869294423045,-2.925768120576,-4.830020846375,-3.242508642558,-5.283362521308,-3.701564708351501
"DTSANT","10.1039/j29670000101","CC1C2CCc3c(C)c(Br)c(O)c(C)c3C2OC1=O",7.0,36.0,"(30, 40]","","",-9.1340456197335,-0.934438962617,-6.118752042343,-1.022603850179,-6.178617089453001,-1.1453271967545
"DUBGAK","10.1016/j.molstruc.2015.02.064","CC(C)(C)Sc1ccc(cn1)C#CC#Cc1ccc(SC(C)(C)C)nc1",12.0,50.0,"(40, 50]","","",-8.497571323414,-1.1540348399705,-5.653981585689,-1.801937918011,-5.5492177532465,-1.7227527875155002
